time,open,high,low,close,Volume
2018-07-19,479.35394838,483.6627099,459.14016077,468.40373956,149692.89500451
2018-07-20,468.80889664,470.94782425,440.45478973,449.0373315,159420.08673188
2018-07-21,448.6268501,468.59838774,440.85238812,460.40703822,110865.51879866
2018-07-22,460.22752812,471.87438525,453.56655771,457.66313471,99451.101688
2018-07-23,457.59633131,469.95575456,446.47559,449.60830479,157799.38864083
2018-07-24,449.65428552,483.78825,448.1457387,478.8163648,222710.12160647
2018-07-25,478.7211444,485.63621092,463.24364472,471.61093391,159082.24688421
2018-07-26,471.28192914,484.93807037,459.09018419,462.23512229,140067.51334591
2018-07-27,462.23687156,473.57634447,455.6869214,470.14481391,129594.86065647
2018-07-28,470.05533812,471.29167146,459.92178137,468.76829939,90862.03156569
2018-07-29,468.49641072,472.30352094,461.05146261,466.46052782,94290.88531018
2018-07-30,466.59437265,470.73985522,445.24913692,456.24477282,132719.30009922
2018-07-31,456.21364195,456.94292366,426.423321,431.22320156,152354.38975458
2018-08-01,431.32410594,435.0630735,406.01232819,420.069065,137237.33033918
2018-08-02,420.06091562,425.05110087,407.0829294,411.04911488,120865.82821625
2018-08-03,411.02920413,420.49130815,397.34740063,417.71322996,154532.51241347
2018-08-04,417.62529791,420.65675016,399.30447312,407.2043906,144083.37759989
2018-08-05,406.9582374,412.95628258,400.1100075,408.8877732,108111.90204968
2018-08-06,408.9165624,414.30077905,400.07363468,405.02444,125287.26176584
2018-08-07,404.967208,413.06070525,369.21068877,378.08861772,162130.82434153
2018-08-08,378.00701752,380.7900378,347.38290257,355.1471686,188461.97511736
2018-08-09,355.2814986,370.32465938,350.14973317,364.22056059,154598.65823562
2018-08-10,364.02296411,365.90791584,325.86983175,331.04902148,174721.34477443
2018-08-11,331.35277851,332.11170068,304.15860238,317.90154209,203127.68382104
2018-08-12,318.11510529,328.89244164,314.03592238,318.12756642,142779.63697864
2018-08-13,318.11923606,322.541912,279.663975,283.9044735,222435.90436166
2018-08-14,283.8329685,286.01260556,250.16472,278.8425632,304941.12349631
2018-08-15,278.8225468,304.61738128,276.88453742,281.12788495,243150.32916446
2018-08-16,281.3741502,299.29766875,277.34565,286.84392944,168318.7973334
2018-08-17,286.84147559,317.7918948,284.91413527,317.607336,227844.95642553
2018-08-18,317.55910189,321.3304425,282.80710971,294.51941001,178656.34485541
2018-08-19,294.41362392,306.55793436,289.14645417,299.585286,129147.16444976
2018-08-20,299.73031607,303.8334237,268.54366133,271.15538472,184737.87947561
2018-08-21,270.82906272,285.66185626,268.6277894,281.0865347,172688.40491308
2018-08-22,280.96243845,300.20516614,258.57723925,270.35622954,221379.55136986
2018-08-23,270.28222212,280.22788365,268.15216075,275.97121865,157491.47752614
2018-08-24,275.9858087,283.41578592,269.40763205,281.410374,190030.0600324
2018-08-25,281.23272911,284.03718,276.0001596,277.57998331,155048.2940582
2018-08-26,277.71399936,278.17562698,268.75929031,274.383999,150731.05349237
2018-08-27,274.32026432,288.57550497,271.63478387,287.88146618,214872.02122393
2018-08-28,287.94324195,297.8761068,282.45209557,295.24349219,224351.50411493
2018-08-29,295.37354877,296.93865396,283.03458205,288.33241887,195720.21621786
2018-08-30,288.37158724,291.00588615,272.02469599,283.90279559,204560.08794051
2018-08-31,283.95545288,286.02748,253.79138092,281.62786779,211505.77373935
2018-09-01,281.5947441,302.50395,281.4073971,295.17175534,190860.46428702
2018-09-02,295.2410415,299.4663894,288.78090829,295.21116991,171729.75796129
2018-09-03,295.1380455,296.31248969,285.03715822,288.78631988,192827.93663013
2018-09-04,288.80323446,292.31725145,282.4323324,285.2346406,207097.56807383
2018-09-05,285.27940444,287.15042304,225.7768624,228.01455456,385894.74448583
2018-09-06,227.87966184,232.50586933,209.53651565,229.12408357,404986.29336416
2018-09-07,229.07610549,234.15230743,213.9738024,215.14777168,288074.62740552
2018-09-08,215.17551808,236.92969188,192.73613737,199.00372503,290421.23725551
2018-09-09,199.00372503,208.5386063,187.40803128,197.24831961,322986.02188112
2018-09-10,197.28642444,204.09364801,188.56305963,197.9516588,307080.19882127
2018-09-11,197.99223402,200.1577274,178.10843818,186.17998079,326130.61930341
2018-09-12,186.0485459,186.14415206,168.94322204,183.80006079,417122.2005861
2018-09-13,183.7831936,214.26103837,183.65805747,210.58090196,429827.31262166
2018-09-14,210.51304986,223.24877578,202.96930175,208.439616,362021.41044549
2018-09-15,208.7132112,226.53811332,207.68539896,221.487453,225105.59108569
2018-09-16,221.20779713,222.89129931,207.62751994,219.69284653,223065.87174429
2018-09-17,219.71260091,224.18253408,194.3218725,197.80464294,305365.63637425
2018-09-18,197.78094802,215.31734257,195.62241825,209.32269593,262215.45102467
2018-09-19,209.30501541,215.2893562,199.70207813,210.21199444,241776.52120021
2018-09-20,210.19977048,226.27993779,206.9071875,223.81441128,252748.48475863
2018-09-21,223.98945876,249.41629017,220.03070546,244.78764409,436933.14725252
2018-09-22,244.77271866,252.38336184,231.29259425,238.30631712,237822.37619958
2018-09-23,238.20154842,245.9566512,234.72678,242.05436992,186873.05338803
2018-09-24,241.94053342,243.26785913,224.04171215,226.81989022,205572.09308192
2018-09-25,226.79547537,226.87568694,204.48605168,219.3427798,321636.97384348
2018-09-26,219.32460698,221.61423021,207.94208805,214.06161909,249841.5256157
2018-09-27,213.98950914,231.45122582,210.22105211,226.93554458,235310.06909
2018-09-28,226.87983877,231.22535282,213.99531098,219.97395233,253455.63444179
2018-09-29,219.925684,235.06055017,213.48569279,229.74338844,257404.84467008
2018-09-30,229.88426874,236.38310125,224.9634045,230.96625981,193864.5641023
2018-10-01,230.94374887,233.1651678,223.43792835,229.15811572,181571.90978656
2018-10-02,229.05077978,229.7273575,221.93284575,224.21772907,182138.40464539
2018-10-03,224.19794576,224.68454276,215.40224744,219.02054634,190178.22855851
2018-10-04,219.00308733,224.60132954,218.20166549,220.37871204,175151.20602347
2018-10-05,220.45091932,229.40782418,217.7468055,225.48071462,198039.23943759
2018-10-06,225.4374584,225.92063795,221.56887654,223.574912,145416.70503183
2018-10-07,223.606922,225.96914499,220.21953314,224.9746541,130842.97322941
2018-10-08,224.91826166,230.2161651,222.74420448,227.68543994,189044.0966707
2018-10-09,227.74433272,228.6290952,224.65306249,226.12209116,173923.53098303
2018-10-10,226.13878728,226.27716295,220.11221833,223.07729415,221719.01866433
